school,major,degree,post_grad_earnings
Full Sail University,Human Computer Interaction.,Bachelor's Degree,42044.0
Full Sail University,Management Information Systems and Services.,Master's Degree,85064.0
Hillsborough Community College,Computer Programming.,Undergraduate Certificate or Diploma,76035.0
Indian River State College,"Computer and Information Sciences, General.",Bachelor's Degree,44218.0
Indian River State College,Computer Software and Media Applications.,Associate's Degree,30193.0
Indian River State College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",Undergraduate Certificate or Diploma,42635.0
AI Miami International University of Art and Design,Computer Software and Media Applications.,Bachelor's Degree,57392.0
Keiser University-Ft Lauderdale,"Computer and Information Sciences, General.",Associate's Degree,45806.0
Keiser University-Ft Lauderdale,"Computer and Information Sciences, General.",Bachelor's Degree,63623.0
Keiser University-Ft Lauderdale,Computer/Information Technology Administration and Management.,Associate's Degree,45686.0
Keiser University-Ft Lauderdale,Computer Engineering.,Bachelor's Degree,85320.0
Keiser University-Ft Lauderdale,Security Science and Technology.,Associate's Degree,35215.0
Keiser University-Ft Lauderdale,Security Science and Technology.,Bachelor's Degree,45897.0
